2020-11-26 08:43:57 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 08:53:33 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:15:57 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:15:58 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:15:59 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:22:49 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:22:51 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:23:37 |        train.py |    INFO | train_one_epoch | Save checkpoint at 3373-th iteration.
2020-11-26 09:23:37 |        train.py |    INFO | train_one_epoch | Loss at save checkpoint is 24.7098
2020-11-26 09:33:35 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:34:27 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:34:31 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
